lookback,top_n,buffer,timing,timing_lookback,timing_band,total_return,annual_return,sharpe,max_drawdown,calmar,annual_turnover,worst_year_return,positive_year_ratio,excess_return,information_ratio
120,15,0,ma,200,0.02,0.23263040913420818,0.04563212721780374,0.3285921547785709,-0.3954467008507966,0.11539387512811973,4.428822495606327,-0.1619644580906523,0.2,0.44729002107962224,0.4222204390763544
120,15,0,momentum,40,0.0,1.0601862729534974,0.16673169524916331,0.9245167624114543,-0.2925772050816492,0.5698724724731501,5.639367311072056,-0.0303346582384324,0.6,1.4189627420478241,0.7965414840479017
120,15,0,momentum,40,0.02,0.9033523262484551,0.14718793163098454,0.8475044551062925,-0.2925772050816491,0.5030738180368803,5.491739894551846,-0.030334658238432066,0.6,1.2348165418967394,0.7426882011964069
120,15,0,momentum,60,0.0,-0.09526866604721373,-0.021133207673478704,-0.0016281090057109757,-0.4578059150621704,-0.046161936703261686,6.0231985940246044,-0.2656832958574584,0.2,0.062288113034338455,0.1957640873277955
120,15,0,momentum,60,0.02,-0.13430709460947354,-0.030301398142098535,-0.058811637521827796,-0.45780591506216994,-0.0661883063218692,5.934622144112478,-0.26568329585745876,0.2,0.016451236320844664,0.1617679624589631
120,15,0,momentum,90,0.0,0.17019321801823906,0.03410002036853843,0.2737317609949289,-0.3725811425744998,0.09152374200398489,4.901230228471002,-0.24416904407919893,0.4,0.37397954376480813,0.3850101987045605
120,15,0,momentum,90,0.02,0.29170171503885256,0.056126951128559144,0.3851279459635294,-0.3074323097199797,0.18256685896053532,4.842179261862918,-0.16568637810449505,0.4,0.516648452393988,0.458627473328787
120,15,0,momentum,120,0.0,0.14652513306062254,0.029601831143056367,0.25221168345624817,-0.40432481385165076,0.07321299640520569,4.163093145869946,-0.24611651331987483,0.2,0.346189718912699,0.3702844743933411
120,15,0,momentum,120,0.02,0.09995109263714275,0.020532603678085515,0.2069231405123634,-0.4531810810416588,0.045307724741929484,4.251669595782074,-0.18462596549354393,0.2,0.2915049217125336,0.33832845111295917
120,15,0,momentum,200,0.0,0.4935958941553735,0.08936170713550307,0.5291998281021061,-0.3774406155903204,0.23675699817238954,4.133567662565905,-0.16196445809065196,0.2,0.7537020157201124,0.5626212403880695
120,15,0,momentum,200,0.02,0.5360696172136354,0.09589816343582225,0.5598861180694901,-0.3716327485894749,0.2580455134801815,3.690685413005273,-0.16196445809065196,0.2,0.8035724351782039,0.5838498391237692
120,15,0,dual,40,0.0,0.8215242842817021,0.13648317039807556,0.8463129455421177,-0.2865355089672075,0.47632201289821763,5.2850615114235495,-0.1056611524349449,0.6,1.1387383438372338,0.7210837730905993
120,15,0,dual,40,0.02,0.7215926894643023,0.12288436899753208,0.8008014603151957,-0.2700964494282103,0.4549647700207694,5.048857644991212,-0.08102102348172369,0.6,1.0214039028742024,0.683153104193453
120,15,0,dual,60,0.0,0.13661156836101251,0.027696001104335233,0.24746079102768317,-0.32631126918225595,0.08487601783947607,4.8717047451669595,-0.1348288448070969,0.6,0.33454973083780604,0.3643055022441074
120,15,0,dual,60,0.02,0.2576223353597147,0.05011954501415117,0.3748172397023816,-0.32631126918225606,0.15359428174133233,4.930755711775044,-0.13482884480709634,0.4,0.4766342309625664,0.4382324366171791
120,15,0,dual,90,0.0,0.17910563551794678,0.03577530998721845,0.28917964929014656,-0.3678025994087518,0.09726769208463398,4.310720562390158,-0.11948369850369223,0.2,0.3844440372702722,0.39197246623008014
120,15,0,dual,90,0.02,0.3540616777028307,0.06680406733072397,0.4860710907169723,-0.3337317799991947,0.20017292728575378,3.3363796133567662,-0.11948369850369289,0.4,0.5898682521082157,0.4996005899923868
120,15,0,dual,120,0.0,0.2927613093100312,0.056311724709735334,0.40323905375736524,-0.3122937850849212,0.18031650772179994,3.1887521968365555,-0.14730893190498884,0.2,0.5178925724511485,0.46328958876135146
120,15,0,dual,120,0.02,0.3469400763399768,0.06560453862554017,0.46366943097462027,-0.29257720508164897,0.2242298357017664,2.8639718804920915,-0.07306831875049391,0.2,0.581506441049372,0.49770124974884594
120,15,0,dual,200,0.0,0.39858444272923443,0.07419280752676238,0.4666600570082301,-0.31942651731488525,0.23226878015773617,3.5430579964850613,-0.1619644580906523,0.2,0.6421445492497468,0.5165518839661414
120,15,0,dual,200,0.02,0.39858444272923443,0.07419280752676238,0.4666600570082301,-0.31942651731488525,0.23226878015773617,3.5430579964850613,-0.1619644580906523,0.2,0.6421445492497468,0.5165518839661414
